"item_num","product_name","description","category","score","buy_link","video_link","image_link","review_link"
1,"ATAX Multi-tool","It's an Ax, a knife, a skinner, a wire cutter, a range finder, a compass, an inclinometer, a clock, a wrench, a hammer, a rescue tool, a survival kit holder, a bow-drill holder, an arrow launcher, and a field level.","knivesandblades",3,"https://www.topsknives.com/knives/survival/atax","https://www.topsknives.com/knives/survival/atax","https://s-media-cache-ak0.pinimg.com/originals/72/27/8d/72278d1fb155e8083c657271fcaeda7a.jpg","https://www.amazon.com/Tops-Knives-Atax-Hand-Axe/dp/B00B81X2AU/ref=sr_1_1?ie=UTF8&qid=1517885076&sr=8-1&keywords=ATAX#customerReviews"
2,"EL CHETE","El Chete is the first TOPS knife to be released with our wicked new finish called Acid Rain. Because of the process we use, the finish varies slightly from knife to knife so that each person gets something unique. We wanted the handles to be thick enough to fill each user's hand like a hatchet or small ax handle would, so we decided to use sandwiched Micarta. It's well rounded for comfort and the black canvas Micarta underneath the green canvas Micarta adds even more to the aesthetics of this piece.","knivesandblades",7,"https://www.topsknives.com/knives/survival/el-chete",NULL,"https://media.midwayusa.com/productimages/880x660/alt3/172/172795.jpg","https://www.amazon.com/Tops-Knives-El-Chete-Knife/dp/B072C2P7QM/ref=sr_1_1?ie=UTF8&qid=1517885136&sr=8-1&keywords=EL+CHETE#customerReviews"
3,"Leatherman Surge Multitool","A work-site juggernaut, Surge features easy-to-unlock blades, two bit-drivers with bits, plus a unique blade exchanger for added versatility.","knivesandblades",7,"https://www.rei.com/product/728652/leatherman-surge-multi-tool",NULL,"https://www.rei.com/media/e2228d98-beb0-4e0c-b78e-7f93013dd13e?size=1020x510","https://www.amazon.com/Leatherman-Surge-Multitool-Stainless-Sheath/dp/B001AC4JMC/ref=sr_1_2_sspa?s=sporting-goods&ie=UTF8&qid=1517885506&sr=1-2-spons&keywords=Leatherman+Surge+Multi-tool&psc=1#customerReviews"
4,"Ka-Bar Becker BK2","Bring the KA-BAR Becker Companion Knife and Tool along on your next hunting or camping trip. This lightweight knife features a durable, 1095 cro-van steel blade, perfect for splitting kindling, skinning game, or chopping onions for the campfire grill.","knivesandblades",8,"https://www.amazon.com/gp/product/B001N1DPDE/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B001N1DPDE&linkCode=as2&tag=wildernesstod-20&linkId=ZGT7E67D3ZPPWNRG",NULL,"https://images-na.ssl-images-amazon.com/images/I/41adQlsnb6L.jpg","https://www.amazon.com/gp/product/B001N1DPDE/ref=as_li_qf_sp_asin_il_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B001N1DPDE&linkCode=as2&tag=wildernesstod-20&linkId=ZGT7E67D3ZPPWNRG#customerReviews"
5,"CRKT KANGEE T-Hawk","Crafted from a single slab of high carbon steel, it’s robust enough to handle most anything you can dish out. The blade geometry has tapered cutting edges for efficient splitting, chopping or shaving and overall toughness. Meanwhile, a spike on the other end ensures victory over whatever you may come up against in the line of duty. This tomahawk does more than cut. It carves out a unique place in your tactical gear bag.","knivesandblades",8,"https://www.amazon.com/gp/product/B00BBOBXD2/ref=as_at/?imprToken=3OZ6HJRVJC.iBKBjhbj.9Q&slotNum=1&ie=UTF8&camp=1789&creative=390957&creativeASIN=B00BBOBXD2&linkCode=w61&tag=tbobg-20",NULL,"https://images-na.ssl-images-amazon.com/images/I/41pnyUtsb8L.jpg","https://www.amazon.com/gp/product/B00BBOBXD2/ref=as_at/?imprToken=3OZ6HJRVJC.iBKBjhbj.9Q&slotNum=1&ie=UTF8&camp=1789&creative=390957&creativeASIN=B00BBOBXD2&linkCode=w61&tag=tbobg-20#customerReviews"
6,"SOG Entrenching Tool","A folding shovel can be an indispensable tool in today's constantly changing environment. When you need to move sand, dirt or snow you wish you had that shovel close at hand. The all-steel construction entrenching tool features a tempered-steel blade with teeth cut into it for cutting and slashing. The triangular handle is strong and fits the hand well.","knivesandblades",8,"https://www.amazon.com/SOG-Entrenching-Tool-F08-N-Folding/dp/B0038A05X6/ref=sr_1_9?s=hi&ie=UTF8&qid=1517170215&sr=1-9&keywords=Canteen",NULL,"https://images-na.ssl-images-amazon.com/images/I/31MSWzjwW9L.jpg","https://www.amazon.com/SOG-Entrenching-Tool-F08-N-Folding/dp/B0038A05X6/ref=sr_1_9?s=hi&ie=UTF8&qid=1517170215&sr=1-9&keywords=Canteen#customerReviews"
7,"LifeStraw Personal Water Filter","The ultimate survival tool for hiking, camping, ultralight backpacking, hunting, travel, scouting, and emergency preparedness, its straw design is ideal for purifying water from streams, lakes, ponds and other contaminated sources. No disaster kit or bugout bag is complete without a LifeStraw, an essential component of any prepper gear lineup. Unlike many similar filters on the market today, LifeStraw has met EPA standards for water filtration in independent testing and removes a minimum 99.9999% of waterborne bacteria (>LOG 6 reduction) and 99.9% of waterborne protozoan parasites (>LOG 3 reduction), filtering to an amazing 0.2 microns and surpassing EPA standards for water filters.","foodandhydration",8,"https://www.amazon.com/LifeStraw-Personal-Camping-Emergency-Preparedness/dp/B006QF3TW4/ref=sr_1_4?ie=UTF8&qid=1517165177&sr=8-4&keywords=survival+gear",NULL,"https://images-na.ssl-images-amazon.com/images/I/51KfGqD5pqL._SL1325_.jpg","https://www.amazon.com/LifeStraw-Personal-Camping-Emergency-Preparedness/dp/B006QF3TW4/ref=sr_1_4?ie=UTF8&qid=1517165177&sr=8-4&keywords=survival+gear#customerReviews"
8,"ER Emergency Ration","The 2,400 calorie ER Bar is a 72-hour emergency ration formulated specifically for disaster victims. Each packet contains six individual 410 calorie rations that are ready-to-eat with no preparation. The ER bar is formulated with an optimum balance of salt, carbohydrates, protein, fat and enriched with the recommended daily allowance of vitamins and minerals.","foodandhydration",8,"https://www.amazon.com/ER-Emergency-Ration-1AQK-4P-Preparedness/dp/B008DEYAZ6/ref=sr_1_3?s=sporting-goods&ie=UTF8&qid=1517169008&sr=1-3&keywords=Survival+Rations",NULL,"https://images-na.ssl-images-amazon.com/images/I/81yxMJO0seL._SL1500_.jpg","https://www.amazon.com/ER-Emergency-Ration-1AQK-4P-Preparedness/dp/B008DEYAZ6/ref=sr_1_3?s=sporting-goods&ie=UTF8&qid=1517169008&sr=1-3&keywords=Survival+Rations#customerReviews"
9,"Potable Aqua Water Purification Treatment","Used worldwide by campers, hikers, militaries, emergency organizations, and anyone else who needs to drink water of questionable quality, these Portable Aqua iodine tablets will disinfect contaminated drinking water in a pinch. The tablets--which are intended for short-term or limited emergency use only--make most water bacteriologically suitable for drinking, proving effective against Giardia lamblia when used as directed.","foodandhydration",8,"https://www.amazon.com/Potable-Aqua-Purification-Treatment-Tablets/dp/B001949TKS/ref=sr_1_4?s=hi&ie=UTF8&qid=1517170094&sr=1-4&keywords=Water+Purification+Tablets",NULL,"https://images-na.ssl-images-amazon.com/images/I/91ACC7JPo5L._SL1500_.jpg","https://www.amazon.com/Potable-Aqua-Purification-Treatment-Tablets/dp/B001949TKS/ref=sr_1_4?s=hi&ie=UTF8&qid=1517170094&sr=1-4&keywords=Water+Purification+Tablets#customerReviews"
10,"Rothco Vintage Canteen Carry","The Rothco 614 Vintage Canteen Carry-All with Shoulder Strap is constructed of fleece lined washed canvas. It has a large front pocket for a cell phone or similarly sized object. It holds a 1 quart canteen (not included).","foodandhydration",8,"https://www.amazon.com/Rothco-ROT110-11-Vintage-Canteen-Carry/dp/B00664SPG0/ref=pd_sbs_200_5?_encoding=UTF8&pd_rd_i=B00664SPG0&pd_rd_r=108W6CANKCXBX6EF1GTE&pd_rd_w=dFTut&pd_rd_wg=dwgfm&refRID=108W6CANKCXBX6EF1GTE",NULL,"https://images-na.ssl-images-amazon.com/images/I/710XbZOL2OL._SL1200_.jpg","https://www.amazon.com/Rothco-ROT110-11-Vintage-Canteen-Carry/dp/B00664SPG0/ref=pd_sbs_200_5?_encoding=UTF8&pd_rd_i=B00664SPG0&pd_rd_r=108W6CANKCXBX6EF1GTE&pd_rd_w=dFTut&pd_rd_wg=dwgfm&refRID=108W6CANKCXBX6EF1GTE#customerReviews"
